Episode,Epsilon,AvgReward,Collisions,Penalties
496,0.0836421079023768,-1004.23892995624,150,0
497,0.0832238973628649,-1004.27914127191,150,0
498,0.0828077778760506,-1003.83766855335,150,0
499,0.0823937389866703,-1003.89722426279,150,0
500,0.081981770291737,-1003.90411087241,150,0
501,0.0815718614402783,-1003.91120964759,150,0
502,0.0811640021330769,-1003.72408397914,150,0
503,0.0807581821224115,-1003.84628606336,150,0
504,0.0803543912117995,-1004.09123965346,150,0
505,0.0799526192557405,-1003.86492805113,150,0
506,0.0795528561594618,-996.888974083899,149,0
507,0.0791550918786644,-1003.89534596405,150,0
508,0.0787593164192711,-1003.78125319043,150,0
509,0.0783655198371748,-1004.00506351908,150,0
510,0.0779736922379889,-1004.19863834263,150,0
511,0.0775838237767989,-997.214595505017,149,0
512,0.0771959046579149,-1003.93785199083,150,0
513,0.0768099251346254,-1004.00385014156,150,0
514,0.0764258755089522,-1003.89603045771,150,0
515,0.0760437461314075,-1004.06933810104,150,0
516,0.0756635274007504,-1003.82659835068,150,0
517,0.0752852097637467,-1003.92063292314,150,0
518,0.0749087837149279,-1003.65508335518,150,0
519,0.0745342397963533,-1003.99587992597,150,0
520,0.0741615685973715,-1004.09750426036,150,0
521,0.0737907607543847,-1003.68310907615,150,0
522,0.0734218069506127,-1003.88659650994,150,0
523,0.0730546979158597,-1003.93547683411,150,0
524,0.0726894244262804,-1003.82044031313,150,0
525,0.072325977304149,-1003.99729043497,150,0
526,0.0719643474176282,-1003.67668569473,150,0
527,0.0716045256805401,-1004.12357447331,150,0
528,0.0712465030521374,-1003.74683957076,150,0
529,0.0708902705368767,-1003.6746612362,150,0
530,0.0705358191841923,-1003.96958890857,150,0
531,0.0701831400882714,-1003.65708455034,150,0
532,0.06983222438783,-1003.82842461505,150,0
533,0.0694830632658908,-1003.8566271065,150,0
534,0.0691356479495614,-1003.84579545457,150,0
535,0.0687899697098136,-1003.69094512879,150,0
536,0.0684460198612645,-1004.16058078066,150,0
537,0.0681037897619582,-1003.89500334306,150,0
538,0.0677632708131484,-997.13593662851,149,0
539,0.0674244544590827,-1004.07806793744,150,0
540,0.0670873321867872,-1003.85036866658,150,0
541,0.0667518955258533,-1004.09925397901,150,0
542,0.066418136048224,-997.326205069158,149,0
543,0.0660860453679829,-1003.71838163945,150,0
544,0.065755615141143,-1003.80750641261,150,0
545,0.0654268370654373,-1003.78821275053,150,0
546,0.0650997028801101,-1004.17785799033,150,0
547,0.0647742043657095,-1003.7511854279,150,0
548,0.064450333343881,-1003.55098762256,150,0
549,0.0641280816771616,-1003.92513752108,150,0
550,0.0638074412687758,-1003.85826845774,150,0
551,0.0634884040624319,-1003.78933242601,150,0
552,0.0631709620421197,-1004.10021445753,150,0
553,0.0628551072319091,-1004.12217605153,150,0
554,0.0625408316957496,-1003.6999077079,150,0
555,0.0622281275372708,-1003.9682380226,150,0
556,0.0619169868995845,-1003.87782159606,150,0
557,0.0616074019650865,-1003.96187143862,150,0
558,0.0612993649552611,-1003.85780638318,150,0
559,0.0609928681304848,-1003.71361833157,150,0
560,0.0606879037898324,-1003.88091491446,150,0
561,0.0603844642708832,-1004.00059671116,150,0
562,0.0600825419495288,-1003.6993157436,150,0
563,0.0597821292397811,-1003.69293960285,150,0
564,0.0594832185935822,-1003.74882820188,150,0
565,0.0591858025006143,-1003.79363826739,150,0
566,0.0588898734881113,-997.268975060975,149,0
567,0.0585954241206707,-1003.78251520472,150,0
568,0.0583024470000673,-997.200633077925,149,0
569,0.058010934765067,-1003.40598632684,150,0
570,0.0577208800912417,-1003.85757491829,150,0
571,0.0574322756907855,-1003.59346825879,150,0
572,0.0571451143123315,-1003.88868068455,150,0
573,0.0568593887407699,-1004.08478490931,150,0
574,0.056575091797066,-1003.75136536615,150,0
575,0.0562922163380807,-1003.83700231183,150,0
576,0.0560107552563903,-1003.98452866098,150,0
577,0.0557307014801083,-1003.83554880437,150,0
578,0.0554520479727078,-1003.70288157857,150,0
579,0.0551747877328443,-1003.65944553435,150,0
580,0.05489891379418,-1004.16189578621,150,0
581,0.0546244192252091,-1003.97733774187,150,0
582,0.0543512971290831,-1003.97904873889,150,0
583,0.0540795406434377,-1003.79595964543,150,0
584,0.0538091429402205,-1003.66879620041,150,0
585,0.0535400972255194,-1003.83881475533,150,0
586,0.0532723967393918,-1003.91943812962,150,0
587,0.0530060347556948,-1004.0029633383,150,0
588,0.0527410045819164,-1004.00480886137,150,0
589,0.0524772995590068,-1003.94884663489,150,0
590,0.0522149130612117,-1004.05754985569,150,0
591,0.0519538384959057,-1003.9793856672,150,0
592,0.0516940693034262,-1003.73869453158,150,0
593,0.051435598956909,-1003.86901214208,150,0
594,0.0511784209621245,-1003.76797177175,150,0
595,0.0509225288573139,-1003.92899109399,150,0
596,0.0506679162130273,-1004.01015929088,150,0
597,0.0504145766319622,-1003.85658622142,150,0
598,0.0501625037488023,-1004.1224554686,150,0
599,0.0499116912300583,-1003.7527078734,150,0
